,LATITUDE,LONGITUDE,geometry
0,25,-80.16056052489999,POINT (25 -80.16056052489999)
1,25,-80.1539675238,POINT (25 -80.15396752380001)
2,25,-80.153739502,POINT (25 -80.15373950199999)
3,25,-80.1526571373,POINT (25 -80.1526571373)
4,25,-80.15463946189999,POINT (25 -80.15463946189999)
5,25,-80.1613541539,POINT (25 -80.16135415390001)
6,25,-80.15721664739999,POINT (25 -80.15721664739999)
7,25,-80.15742588020001,POINT (25 -80.15742588020001)
8,25,-80.1615562769,POINT (25 -80.1615562769)
9,25,-80.1580476911,POINT (25 -80.15804769109999)
10,25,-80.1555378492,POINT (25 -80.1555378492)
11,25,-80.1683697701,POINT (25 -80.1683697701)
12,25,-80.1668569854,POINT (25 -80.1668569854)
13,25,-80.1666650338,POINT (25 -80.1666650338)
14,25,-80.15905869550001,POINT (25 -80.15905869550001)
15,25,-80.1680434581,POINT (25 -80.1680434581)
16,25,-80.16785559,POINT (25 -80.16785559)
17,25,-80.1611290865,POINT (25 -80.1611290865)
18,25,-80.1610606319,POINT (25 -80.1610606319)
19,25,-80.1544097829,POINT (25 -80.1544097829)
20,25,-80.1544185384,POINT (25 -80.15441853839999)
21,25,-80.1563252577,POINT (25 -80.1563252577)
22,25,-80.1480698498,POINT (25 -80.1480698498)
23,25,-80.1564577689,POINT (25 -80.1564577689)
24,25,-80.151359975,POINT (25 -80.15135997500001)
25,25,-80.1470642984,POINT (25 -80.1470642984)
26,25,-80.1489638897,POINT (25 -80.1489638897)
27,25,-80.1513917581,POINT (25 -80.1513917581)
28,25,-80.15116383430001,POINT (25 -80.15116383430001)
29,25,-80.1535868064,POINT (25 -80.1535868064)
30,25,-80.1511942939,POINT (25 -80.15119429390001)
31,25,-80.1453945003,POINT (25 -80.1453945003)
32,25,-80.1490239338,POINT (25 -80.1490239338)
33,25,-80.145918368,POINT (25 -80.145918368)
34,25,-80.1573563733,POINT (25 -80.1573563733)
35,25,-80.1532505715,POINT (25 -80.1532505715)
36,25,-80.148292138,POINT (25 -80.148292138)
37,25,-80.150690969,POINT (25 -80.150690969)
38,25,-80.15775495300001,POINT (25 -80.15775495300001)
39,25,-80.1550050836,POINT (25 -80.1550050836)
40,25,-80.1546475117,POINT (25 -80.15464751170001)
41,25,-80.1282938893,POINT (25 -80.1282938893)
42,25,-80.1414704516,POINT (25 -80.1414704516)
43,25,-80.1394298492,POINT (25 -80.1394298492)
44,25,-80.142110763,POINT (25 -80.14211076300001)
45,25,-80.138128165,POINT (25 -80.138128165)
46,25,-80.1388211567,POINT (25 -80.1388211567)
47,25,-80.13808442109999,POINT (25 -80.13808442109999)
48,25,-80.138452801,POINT (25 -80.138452801)
49,25,-80.1390075282,POINT (25 -80.1390075282)
50,25,-80.1397173463,POINT (25 -80.1397173463)
51,25,-80.139083998,POINT (25 -80.139083998)
52,25,-80.1229052716,POINT (25 -80.1229052716)
53,25,-80.12378423199999,POINT (25 -80.12378423199999)
54,25,-80.1229069885,POINT (25 -80.12290698850001)
55,25,-80.12141131189999,POINT (25 -80.12141131189999)
56,25,-80.1213901256,POINT (25 -80.1213901256)
57,25,-80.1213818659,POINT (25 -80.12138186590001)
58,25,-80.122559504,POINT (25 -80.12255950399999)
59,25,-80.1239600693,POINT (25 -80.1239600693)
60,25,-80.12308029479999,POINT (25 -80.12308029479999)
61,25,-80.1211070009,POINT (25 -80.1211070009)
62,25,-80.12150486510001,POINT (25 -80.12150486510001)
63,25,-80.1296975372,POINT (25 -80.1296975372)
64,25,-80.12942082020001,POINT (25 -80.12942082020001)
65,25,-80.1290411497,POINT (25 -80.1290411497)
66,25,-80.1220130305,POINT (25 -80.1220130305)
67,25,-80.1384572549,POINT (25 -80.1384572549)
68,25,-80.1386415792,POINT (25 -80.1386415792)
69,25,-80.1260508411,POINT (25 -80.1260508411)
70,25,-80.12591191359999,POINT (25 -80.12591191359999)
71,25,-80.1279746853,POINT (25 -80.1279746853)
72,25,-80.1262723241,POINT (25 -80.1262723241)
73,25,-80.13750107989999,POINT (25 -80.13750107989999)
74,25,-80.1262628707,POINT (25 -80.1262628707)
75,25,-80.1279847438,POINT (25 -80.1279847438)
76,25,-80.125976757,POINT (25 -80.125976757)
77,25,-80.1381229916,POINT (25 -80.1381229916)
78,25,-80.1362515606,POINT (25 -80.1362515606)
79,25,-80.1361301575,POINT (25 -80.13613015750001)
80,25,-80.13731074729999,POINT (25 -80.13731074729999)
81,25,-80.1381998368,POINT (25 -80.1381998368)
82,25,-80.1197463899,POINT (25 -80.1197463899)
83,25,-80.17666682859999,POINT (25 -80.17666682859999)
84,25,-80.1754943188,POINT (25 -80.17549431880001)
85,25,-80.178057756,POINT (25 -80.178057756)
86,25,-80.17807078770001,POINT (25 -80.17807078770001)
87,25,-80.1735801883,POINT (25 -80.17358018829999)
88,25,-80.1836685926,POINT (25 -80.1836685926)
89,25,-80.1789822571,POINT (25 -80.1789822571)
90,25,-80.1813693147,POINT (25 -80.18136931470001)
91,25,-80.18235668210001,POINT (25 -80.18235668210001)
92,25,-80.1799318737,POINT (25 -80.1799318737)
93,25,-80.1746674346,POINT (25 -80.1746674346)
94,25,-80.174677389,POINT (25 -80.174677389)
95,25,-80.1767658574,POINT (25 -80.1767658574)
96,25,-80.1733939074,POINT (25 -80.1733939074)
97,25,-80.1800035795,POINT (25 -80.1800035795)
